"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","LANDBIRD"
"","VOJU","","Volcano Junco","Junco vulcani","JUNVUL","",TRUE
"","GUJU","","Guadalupe Junco","Junco insularis","JUNINS","",TRUE
"","DEJU","","Dark-eyed Junco","Junco hyemalis","JUNHYE","",TRUE
"","YEJU","","Yellow-eyed Junco","Junco phaeonotus","JUNPHA","",TRUE
"","BAJU","","Baird's Junco","Junco bairdi","JUNBAI","",TRUE
"","RCOS","*","Rufous-collared Sparrow","Zonotrichia capensis","ZONCAP","",TRUE
"","WCSP","","White-crowned Sparrow","Zonotrichia leucophrys","ZONLEU","",TRUE
"","GCSP","","Golden-crowned Sparrow","Zonotrichia atricapilla","ZONATR","",TRUE
"","HASP","","Harris's Sparrow","Zonotrichia querula","ZONQUE","",TRUE
"","WTSP","","White-throated Sparrow","Zonotrichia albicollis","ZONALB","",TRUE
"","SABS","*","Sagebrush Sparrow","Artemisiospiza nevadensis","ARTNEV","",TRUE
"","BESP","","Bell's Sparrow","Artemisiospiza belli","ARTBEL","",TRUE
"","SSPA","*","Striped Sparrow","Oriturus superciliosus","ORISUP","",TRUE
"","VESP","","Vesper Sparrow","Pooecetes gramineus","POOGRA","",TRUE
"","LCSP","","LeConte's Sparrow","Ammospiza leconteii","AMMLEC","",TRUE
"","SESP","","Seaside Sparrow","Ammospiza maritima","AMMMAR","",TRUE
"","NESP","","Nelson's Sparrow","Ammospiza nelsoni","AMMNEL","",TRUE
"","SALS","*","Saltmarsh Sparrow","Ammospiza caudacuta","AMMCAU","",TRUE
"","BAIS","*","Baird's Sparrow","Centronyx bairdii","CENBAI","",TRUE
"","HESP","","Henslow's Sparrow","Centronyx henslowii","CENHEN","",TRUE
"","SAVS","*","Savannah Sparrow","Passerculus sandwichensis","PASSAN","",TRUE
"","SMSP","","Sierra Madre Sparrow","Xenospiza baileyi","XENBAI","",TRUE
"","SOSP","","Song Sparrow","Melospiza melodia","MELMEL","",TRUE
"","LISP","","Lincoln's Sparrow","Melospiza lincolnii","MELLIN","",TRUE
"","SWSP","","Swamp Sparrow","Melospiza georgiana","MELGEO","",TRUE
"","LFFI","","Large-footed Finch","Pezopetes capitalis","PEZCAP","",TRUE
"","RCGS","","Rusty-crowned Ground-Sparrow","Melozone kieneri","MELKIE","",TRUE
"","CANT","*","Canyon Towhee","Melozone fusca","MEZFUS","*",TRUE
"","WTTO","","White-throated Towhee","Melozone albicollis","MELALB","",TRUE
"","ABTO","","Abert's Towhee","Melozone aberti","MELABE","",TRUE
"","CALT","*","California Towhee","Melozone crissalis","MELCRI","",TRUE
"","WEGS","","White-eared Ground-Sparrow","Melozone leucotis","MELLEU","",TRUE
"","WFGS","","White-faced Ground-Sparrow","Melozone biarcuata","MELBIA","",TRUE
"","CAGS","","Cabanis's Ground-Sparrow","Melozone cabanisi","MELCAB","",TRUE
"","RUSP","","Rusty Sparrow","Aimophila rufescens","AIMRUS","*",TRUE
"","RCSP","","Rufous-crowned Sparrow","Aimophila ruficeps","AIMRUP","*",TRUE
"","OASP","","Oaxaca Sparrow","Aimophila notosticta","AIMNOT","",TRUE
"","GTTO","","Green-tailed Towhee","Pipilo chlorurus","PIPCHL","",TRUE
"","SPTO","","Spotted Towhee","Pipilo maculatus","PIPMAC","",TRUE
"","EATO","","Eastern Towhee","Pipilo erythrophthalmus","PIPERY","",TRUE
"","COTO","","Collared Towhee","Pipilo ocai","PIPOCA","",TRUE
"","RCBR","","Rufous-capped Brushfinch","Atlapetes pileatus","ATLPIL","",TRUE
"","WNBR","","White-naped Brushfinch","Atlapetes albinucha","ATLALB","",TRUE
"","YTBR","","Yellow-thighed Brushfinch","Atlapetes tibialis","ALTTIB","",TRUE
"","YGBR","","Yellow-green Brushfinch","Atlapetes luteoviridis","ALTLUT","",TRUE
"","WESP","","Western Spindalis","Spindalis zena","SPIZEN","",TRUE
"","WRET","*","Wrenthrush","Zeledonia coronata","ZELCOR","",TRUE
"","YBCH","","Yellow-breasted Chat","Icteria virens","ICTVIR","",TRUE
"","YHBL","","Yellow-headed Blackbird","Xanthocephalus xanthocephalus","XANXAN","",TRUE
"","BOBO","","Bobolink","Dolichonyx oryzivorus","DOLORY","",TRUE
"","EAME","","Eastern Meadowlark","Sturnella magna","STUMAG","",TRUE
"","WEME","","Western Meadowlark","Sturnella neglecta","STUNEG","",TRUE
"","RBRM","*","Red-breasted Meadowlark","Leistes militaris","LEIMIL","",TRUE
"","YBIC","*","Yellow-billed Cacique","Amblycercus holosericeus","AMBHOL","",TRUE
"","YWCA","","Yellow-winged Cacique","Cassiculus melanicterus","CASMEL","",TRUE
"","CROR","","Crested Oropendola","Psarocolius decumanus","PSADEC","",TRUE
"","CHOR","","Chestnut-headed Oropendola","Psarocolius wagleri","PSAWAG","",TRUE
"","MORO","*","Montezuma Oropendola","Psarocolius montezuma","PSAMON","",TRUE
"","BLOR","","Black Oropendola","Psarocolius guatimozinus","PSAGUA","",TRUE
"","SRCA","","Scarlet-rumped Cacique","Cacicus uropygialis","CACURO","",TRUE
"","YRCA","","Yellow-rumped Cacique","Cacicus cela","CACCEL","",TRUE
"","BVOR","","Black-vented Oriole","Icterus wagleri","ICTWAG","",TRUE
"","BWOR","","Bar-winged Oriole","Icterus maculialatus","ICTMAC","",TRUE
"","BCOR","","Black-cowled Oriole","Icterus prosthemelas","ICTPRO","",TRUE
"","OROR","","Orchard Oriole","Icterus spurius","ICTSPU","",TRUE
"","HOOR","","Hooded Oriole","Icterus cucullatus","ICTCUC","",TRUE
"","YBOR","","Yellow-backed Oriole","Icterus chrysater","ICTCHR","",TRUE
"","OCOR","","Orange-crowned Oriole","Icterus auricapillus","ICTAUC","*",TRUE
"","YTOR","","Yellow-tailed Oriole","Icterus mesomelas","ICTMES","",TRUE
"","SBAO","*","Streak-backed Oriole","Icterus pustulatus","ICTPUS","",TRUE
"","BUOR","","Bullock's Oriole","Icterus bullockii","ICTBUL","",TRUE
"","ORAO","*","Orange Oriole","Icterus auratus","ICTAUT","*",TRUE
"","SBOR","","Spot-breasted Oriole","Icterus pectoralis","ICTPEC","",TRUE
"","ALOR","","Altamira Oriole","Icterus gularis","ICTGUL","",TRUE
"","AUOR","","Audubon's Oriole","Icterus graduacauda","ICTGRA","",TRUE
"","BAOR","","Baltimore Oriole","Icterus galbula","ICTGAL","",TRUE
"","BBOR","","Black-backed Oriole","Icterus abeillei","ICTABE","",TRUE
"","SCOR","","Scott's Oriole","Icterus parisorum","ICTPAR","",TRUE
"","RWBL","","Red-winged Blackbird","Agelaius phoeniceus","AGEPHO","",TRUE
"","TRBL","","Tricolored Blackbird","Agelaius tricolor","AGETRI","",TRUE
"","SHCO","","Shiny Cowbird","Molothrus bonariensis","MOLBON","",TRUE
"","BROC","*","Bronzed Cowbird","Molothrus aeneus","MOLAEN","",TRUE
"","BHCO","","Brown-headed Cowbird","Molothrus ater","MOLATE","",TRUE
"","GICO","","Giant Cowbird","Molothrus oryzivorus","MOLORY","",TRUE
"","MEBL","","Melodious Blackbird","Dives dives","DIVDIV","",TRUE
"","RUBL","","Rusty Blackbird","Euphagus carolinus","EUPCAR","",TRUE
"","BRBL","","Brewer's Blackbird","Euphagus cyanocephalus","EUPCYC","*",TRUE
"","COGR","","Common Grackle","Quiscalus quiscula","QUIQUI","",TRUE
"","BTGR","","Boat-tailed Grackle","Quiscalus major","QUIMAJ","",TRUE
"","GTGR","","Great-tailed Grackle","Quiscalus mexicanus","QUIMEX","",TRUE
"","NIGR","","Nicaraguan Grackle","Quiscalus nicaraguensis","QUINIC","",TRUE
"","YHOB","*","Yellow-hooded Blackbird","Chrysomus icterocephalus","CHRICT","",TRUE
"","OVEN","","Ovenbird","Seiurus aurocapilla","SEIAUR","",TRUE
"","WEWA","","Worm-eating Warbler","Helmitheros vermivorum","HELVER","",TRUE
"","LOWA","","Louisiana Waterthrush","Parkesia motacilla","PARMOT","",TRUE
"","NOWA","","Northern Waterthrush","Parkesia noveboracensis","PARNOV","",TRUE
"","GWWA","","Golden-winged Warbler","Vermivora chrysoptera","VERCHR","",TRUE
"","BWWA","","Blue-winged Warbler","Vermivora cyanoptera","VERCYA","",TRUE
"","BAWW","","Black-and-white Warbler","Mniotilta varia","MNIVAR","",TRUE
"","PROW","*","Prothonotary Warbler","Protonotaria citrea","PROCIT","",TRUE
"","SWWA","","Swainson's Warbler","Limnothlypis swainsonii","LIMSWA","",TRUE
"","CCWA","","Crescent-chested Warbler","Oreothlypis superciliosa","ORESUP","",TRUE
"","FTHW","*","Flame-throated Warbler","Oreothlypis gutturalis","OREGUT","",TRUE
"","TEWA","","Tennessee Warbler","Leiothlypis peregrina","LEIPER","",TRUE
"","OCWA","","Orange-crowned Warbler","Leiothlypis celata","LEICEL","",TRUE
"","COLW","*","Colima Warbler","Leiothlypis crissalis","LEICRI","",TRUE
"","LUWA","","Lucy's Warbler","Leiothlypis luciae","LEILUC","",TRUE
"","NAWA","","Nashville Warbler","Leiothlypis ruficapilla","LEIRUF","",TRUE
"","VIWA","","Virginia's Warbler","Leiothlypis virginiae","LEIVIR","",TRUE
"","CONW","*","Connecticut Warbler","Oporornis agilis","OPOAGI","",TRUE
"","GCYE","","Gray-crowned Yellowthroat","Geothlypis poliocephala","GEOPOL","",TRUE
"","MGWA","","MacGillivray's Warbler","Geothlypis tolmiei","GEOTOL","",TRUE
"","MOWA","","Mourning Warbler","Geothlypis philadelphia","GEOPHI","",TRUE
"","KEWA","","Kentucky Warbler","Geothlypis formosa","GEOFOR","",TRUE
"","OCYE","","Olive-crowned Yellowthroat","Geothlypis semiflava","GEOSEM","",TRUE
"","BPYE","","Black-polled Yellowthroat","Geothlypis speciosa","GEOSPE","",TRUE
"","BEYE","","Belding's Yellowthroat","Geothlypis beldingi","GEOBEL","",TRUE
"","ALYE","","Altamira Yellowthroat","Geothlypis flavovelata","GEOFLA","",TRUE
"","COYE","","Common Yellowthroat","Geothlypis trichas","GEOTRI","",TRUE
"","HOYE","","Hooded Yellowthroat","Geothlypis nelsoni","GEONEL","",TRUE
"","HOWA","","Hooded Warbler","Setophaga citrina","SETCIT","",TRUE
"","AMRE","","American Redstart","Setophaga ruticilla","SETRUT","",TRUE
"","KIWA","","Kirtland's Warbler","Setophaga kirtlandii","SETKIR","",TRUE
"","CMWA","","Cape May Warbler","Setophaga tigrina","SETTIG","",TRUE
"","CERW","*","Cerulean Warbler","Setophaga cerulea","SETCER","",TRUE
"","NOPA","","Northern Parula","Setophaga americana","SETAME","",TRUE
"","TRPA","","Tropical Parula","Setophaga pitiayumi","SETPIM","*",TRUE
"","MAWA","","Magnolia Warbler","Setophaga magnolia","SETMAG","",TRUE
"","BBWA","","Bay-breasted Warbler","Setophaga castanea","SETCAS","",TRUE
"","BLBW","*","Blackburnian Warbler","Setophaga fusca","SETFUS","",TRUE
"","YEWA","","Yellow Warbler","Setophaga petechia","SETPET","",TRUE
"","CSWA","","Chestnut-sided Warbler","Setophaga pensylvanica","SETPEN","",TRUE
"","BLPW","*","Blackpoll Warbler","Setophaga striata","SETSTR","",TRUE
"","BTBW","","Black-throated Blue Warbler","Setophaga caerulescens","SETCAE","",TRUE
"","PAWA","","Palm Warbler","Setophaga palmarum","SETPAL","",TRUE
"","PIWA","","Pine Warbler","Setophaga pinus","SETPIN","",TRUE
"","YRWA","","Yellow-rumped Warbler","Setophaga coronata","SETCOR","",TRUE
"","YTWA","","Yellow-throated Warbler","Setophaga dominica","SETDOM","",TRUE
"","VITW","*","Vitelline Warbler","Setophaga vitellina","SETVIT","",TRUE
"","PRAW","*","Prairie Warbler","Setophaga discolor","SETDIS","",TRUE
"","GRWA","","Grace's Warbler","Setophaga graciae","SETGRA","",TRUE
"","BTYW","*","Black-throated Gray Warbler","Setophaga nigrescens","SETNIG","",TRUE
"","TOWA","","Townsend's Warbler","Setophaga townsendi","SETTOW","",TRUE
"","HEWA","","Hermit Warbler","Setophaga occidentalis","SETOCC","",TRUE
"","GCWA","","Golden-cheeked Warbler","Setophaga chrysoparia","SETCHR","",TRUE
"","BTNW","*","Black-throated Green Warbler","Setophaga virens","SETVIR","",TRUE
"","BURW","*","Buff-rumped Warbler","Myiothlypis fulvicauda","MYIFUL","",TRUE
"","FTWA","","Fan-tailed Warbler","Basileuterus lachrymosus","BASLAC","",TRUE
"","RCWA","","Rufous-capped Warbler","Basileuterus rufifrons","BASRUF","",TRUE
"","BCWA","","Black-cheeked Warbler","Basileuterus melanogenys","BASMEG","*",TRUE
"","PIRW","*","Pirre Warbler","Basileuterus ignotus","BASIGN","",TRUE
"","GBWA","","Golden-browed Warbler","Basileuterus belli","BASBEL","",TRUE
"","GCRW","*","Golden-crowned Warbler","Basileuterus culicivorus","BASCUL","",TRUE
"","CRWA","","Costa Rican Warbler","Basileuterus melanotis","BASMET","*",TRUE
"","TAWA","","Tacarcuna Warbler","Basileuterus tacarcunae","BASTAC","",TRUE
"","CAWA","","Canada Warbler","Cardellina canadensis","CADCAN","",TRUE
"","WIWA","","Wilson's Warbler","Cardellina pusilla","CARPUS","",TRUE
"","RFWA","","Red-faced Warbler","Cardellina rubrifrons","CARRUF","*",TRUE
"","REWA","","Red Warbler","Cardellina rubra","CARRUA","*",TRUE
"","PHWA","","Pink-headed Warbler","Cardellina versicolor","CARVER","",TRUE
"","PARE","","Painted Redstart","Myioborus pictus","MYIPIC","",TRUE
"","STRE","","Slate-throated Redstart","Myioborus miniatus","MYIMIN","",TRUE
"","COLR","*","Collared Redstart","Myioborus torquatus","MYITOR","",TRUE
"","DFTA","","Dusky-faced Tanager","Mitrospingus cassinii","MITCAS","",TRUE
"","RTTA","","Rose-throated Tanager","Piranga roseogularis","PIRROS","",TRUE
"","HETA","","Hepatic Tanager","Piranga flava","PIRFLA","",TRUE
"","SUTA","","Summer Tanager","Piranga rubra","PIRRUB","",TRUE
"","SCTA","","Scarlet Tanager","Piranga olivacea","PIROLI","",TRUE
"","WETA","","Western Tanager","Piranga ludoviciana","PIRLUD","",TRUE
"","FCTA","","Flame-colored Tanager","Piranga bidentata","PIRBID","",TRUE
"","WWTA","","White-winged Tanager","Piranga leucoptera","PIRLEU","",TRUE
"","RHTA","","Red-headed Tanager","Piranga erythrocephala","PIRERY","",TRUE
"","RCAT","","Red-crowned Ant-Tanager","Habia rubica","HABRUB","",TRUE
"","RTAT","","Red-throated Ant-Tanager","Habia fuscicauda","HABFUS","",TRUE
"","BCAT","","Black-cheeked Ant-Tanager","Habia atrimaxillaris","HABATR","",TRUE
"","CATA","","Carmiol's Tanager","Chlorothraupis carmioli","CHLCAR","",TRUE
"","LSTA","","Lemon-spectacled Tanager","Chlorothraupis olivacea","CHLOLI","",TRUE
"","BFAG","*","Black-faced Grosbeak","Caryothraustes poliogaster","CARPOL","",TRUE
"","YGGR","","Yellow-green Grosbeak","Caryothraustes canadensis","CATCAN","",TRUE
"","CCGR","","Crimson-collared Grosbeak","Rhodothraupis celaeno","RHOCEL","",TRUE
"","NOCA","","Northern Cardinal","Cardinalis cardinalis","CARCAI","*",TRUE
"","PYRR","","Pyrrhuloxia","Cardinalis sinuatus","CARSIN","",TRUE
"","YEGR","","Yellow Grosbeak","Pheucticus chrysopeplus","PHECHR","",TRUE
"","BTGG","*","Black-thighed Grosbeak","Pheucticus tibialis","PHETIB","",TRUE
"","RBGR","","Rose-breasted Grosbeak","Pheucticus ludovicianus","PHELUD","",TRUE
"","BHGR","","Black-headed Grosbeak","Pheucticus melanocephalus","PHEMEL","",TRUE
"","RBRC","*","Red-breasted Chat","Granatellus venustus","GRAVEN","",TRUE
"","GTCH","","Gray-throated Chat","Granatellus sallaei","GRASAL","",TRUE
"","BLSE","","Blue Seedeater","Amaurospiza concolor","AMSCON","*",TRUE
"","BGRO","*","Blue-black Grosbeak","Cyanoloxia cyanoides","CYACYD","*",TRUE
"","BLBU","","Blue Bunting","Cyanocompsa parellina","CYAPAR","",TRUE
"","BLGR","","Blue Grosbeak","Passerina caerulea","PASCAE","",TRUE
"","LAZB","*","Lazuli Bunting","Passerina amoena","PASAMO","",TRUE
"","INBU","","Indigo Bunting","Passerina cyanea","PASCYA","",TRUE
"","RBBU","","Rose-bellied Bunting","Passerina rositae","PASROS","",TRUE
"","OBBU","","Orange-breasted Bunting","Passerina leclancherii","PASLEC","",TRUE
"","VABU","","Varied Bunting","Passerina versicolor","PASVER","",TRUE
"","PABU","","Painted Bunting","Passerina ciris","PASCIR","",TRUE
"","DICK","","Dickcissel","Spiza americana","SPIAME","",TRUE
"","BAGT","","Blue-and-gold Tanager","Bangsia arcaei","BANARC","",TRUE
"","SPTA","","Speckled Tanager","Ixothraupis guttata","IXOGUT","",TRUE
"","GAGT","","Gray-and-gold Tanager","Poecilostreptus palmeri","POEPAL","",TRUE
"","ARTA","","Azure-rumped Tanager","Poecilostreptus cabanisi","POECAB","",TRUE
"","BGTA","","Blue-gray Tanager","Thraupis episcopus","THREPI","",TRUE
"","YWTA","","Yellow-winged Tanager","Thraupis abbas","THRABB","",TRUE
"","PATA","","Palm Tanager","Thraupis palmarum","THRPAL","",TRUE
"","GHOT","*","Golden-hooded Tanager","Stilpnia larvata","STILAR","",TRUE
"","GNTA","","Green-naped Tanager","Tangara fucosa","TANFUC","",TRUE
"","SCHT","*","Spangle-cheeked Tanager","Tangara dowii","TANDOW","",TRUE
"","PCTA","","Plain-colored Tanager","Tangara inornata","TANINO","",TRUE
"","RWTA","","Rufous-winged Tanager","Tangara lavinia","TANLAV","",TRUE
"","BHTA","","Bay-headed Tanager","Tangara gyrola","TANGYR","",TRUE
"","EMTA","","Emerald Tanager","Tangara florida","TANFLO","",TRUE
"","STTA","","Silver-throated Tanager","Tangara icterocephala","TANICT","",TRUE
"","WECO","","White-eared Conebill","Conirostrum leucogenys","CONLEU","",TRUE
"","SAFI","","Saffron Finch","Sicalis flaveola","SICFLA","",TRUE
"","GRYF","","Grassland Yellow-Finch","Sicalis luteola","SICLUT","",TRUE
"","SLFI","","Slaty Finch","Haplospiza rustica","HAPRUS","",TRUE
"","PBFI","","Peg-billed Finch","Acanthidops bairdi","ACABAI","",TRUE
"","CBFL","","Cinnamon-bellied Flowerpiercer","Diglossa baritula","DIGBAR","",TRUE
"","SLFL","","Slaty Flowerpiercer","Diglossa plumbea","DIGPLU","",TRUE
"","GRHO","","Green Honeycreeper","Chlorophanes spiza","CHLSPI","",TRUE
"","BAYT","","Black-and-yellow Tanager","Chrysothlypis chrysomelas","CHRCHR","",TRUE
"","SURT","*","Sulphur-rumped Tanager","Heterospingus rubrifrons","HETRUB","",TRUE
"","SBTA","","Scarlet-browed Tanager","Heterospingus xanthopygius","HETXAN","",TRUE
"","YBTA","","Yellow-backed Tanager","Hemithraupis flavicollis","HEMFLA","",TRUE
"","BGRA","*","Blue-black Grassquit","Volatinia jacarina","VOLJAC","",TRUE
"","GHET","*","Gray-headed Tanager","Eucometis penicillata","EUCPEN","",TRUE
"","WSTA","","White-shouldered Tanager","Loriotus luctuosus","LORLUC","",TRUE
"","TCTA","","Tawny-crested Tanager","Tachyphonus delatrii","TACDEL","",TRUE
"","WLTA","","White-lined Tanager","Tachyphonus rufus","TACRUF","",TRUE
"","BTST","","Black-throated Shrike-Tanager","Lanio aurantius","LANAUR","",TRUE
"","WTST","","White-throated Shrike-Tanager","Lanio leucothorax","LANLEU","",TRUE
"","CCTA","","Crimson-collared Tanager","Ramphocelus sanguinolentus","RAMSAN","",TRUE
"","FRTA","","Flame-rumped Tanager","Ramphocelus flammigerus","RAMFLA","",TRUE
"","SCRT","*","Scarlet-rumped Tanager","Ramphocelus passerinii","RAMPAS","",TRUE
"","CBTA","","Crimson-backed Tanager","Ramphocelus dimidiatus","RAMDIM","",TRUE
"","SWTA","","Swallow Tanager","Tersina viridis","TERVIR","",TRUE
"","SHHO","","Shining Honeycreeper","Cyanerpes lucidus","CYALUC","",TRUE
"","PUHO","","Purple Honeycreeper","Cyanerpes caeruleus","CYACAE","",TRUE
"","RLHO","","Red-legged Honeycreeper","Cyanerpes cyaneus","CYACYU","*",TRUE
"","STDA","","Scarlet-thighed Dacnis","Dacnis venusta","DACVEN","",TRUE
"","BLDA","","Blue Dacnis","Dacnis cayana","DACCAY","",TRUE
"","VIDA","","Viridian Dacnis","Dacnis viguieri","DACVIG","",TRUE
"","BANA","","Bananaquit","Coereba flaveola","COEFLA","",TRUE
"","YFGR","","Yellow-faced Grassquit","Tiaris olivaceus","TIAOLI","",TRUE
"","COFI","","Cocos Finch","Pinaroloxias inornata","PININO","",TRUE
"","TBSF","","Thick-billed Seed-Finch","Sporophila funerea","SPOFUN","",TRUE
"","LBSF","","Large-billed Seed-Finch","Sporophila crassirostris","SPOCRA","",TRUE
"","NISF","","Nicaraguan Seed-Finch","Sporophila nuttingi","SPONUT","",TRUE
"","VASE","","Variable Seedeater","Sporophila corvina","SPOCOR","",TRUE
"","SCSE","","Slate-colored Seedeater","Sporophila schistacea","SPOSCH","",TRUE
"","CRSE","","Cinnamon-rumped Seedeater","Sporophila torqueola","SPOTOR","",TRUE
"","MOSE","","Morelet's Seedeater","Sporophila morelleti","SPOMOR","",TRUE
"","YBSE","","Yellow-bellied Seedeater","Sporophila nigricollis","SPONIG","",TRUE
"","RBSE","","Ruddy-breasted Seedeater","Sporophila minuta","SPOMIN","",TRUE
"","WTGF","","Wedge-tailed Grass-Finch","Emberizoides herbicola","EMBHER","",TRUE
"","BHSA","","Black-headed Saltator","Saltator atriceps","SALATR","",TRUE
"","BTSA","","Buff-throated Saltator","Saltator maximus","SALMAX","",TRUE
"","SCOG","*","Slate-colored Grosbeak","Saltator grossus","SALGRO","",TRUE
"","GRAS","*","Grayish Saltator","Saltator coerulescens","SALCOE","",TRUE
"","SSAL","*","Streaked Saltator","Saltator striatipectus","SALSTR","",TRUE
